Total price,Montly installment,Year.Car.Model,Used.Transmission,Seller Name,Seller location,transmission,milage (Thousands),year,manufacturer,model,extra
74999.0,1486.0,2017 Renault Kwid 1.0 Dynamique,Used Car135 000 kmManual,SG CARS (PTY) LTD,"Highlands North, Johannesburg",Manual,135.0,2017,Renault,Kwid,"['1.0', 'Dynamique']"
74999.0,1486.0,2012 Ford Fiesta 5-Door 1.4 Trend,Used Car141 000 kmManual,SMART CARS JHB,"Bezuidenhout Valley, Johannesburg",Manual,141.0,2012,Ford,Fiesta,"['5-Door', '1.4', 'Trend']"
74999.0,1486.0,2014 Toyota Etios Hatch 1.5 Xs,Used Car71 000 kmManual,SMART CARS JHB,"Bezuidenhout Valley, Johannesburg",Manual,71.0,2014,Toyota,Etios,"['Hatch', '1.5', 'Xs']"
74999.0,1486.0,2012 Ford Fiesta 1.6 3-Door Titanium,Used Car96 000 kmManual,SMART CARS JHB,"Bezuidenhout Valley, Johannesburg",Manual,96.0,2012,Ford,Fiesta,"['1.6', '3-Door', 'Titanium']"
74999.0,1486.0,2016 Suzuki Swift Hatch 1.2 GA,Used Car78 000 kmManual,SMART CARS JHB,"Bezuidenhout Valley, Johannesburg",Manual,78.0,2016,Suzuki,Swift,"['Hatch', '1.2', 'GA']"
74999.0,1486.0,2012 Toyota Yaris 1.3 Sedan T3+,Used Car95 000 kmManual,SG CARS (PTY) LTD,"Highlands North, Johannesburg",Manual,95.0,2012,Toyota,Yaris,"['1.3', 'Sedan', 'T3+']"
74999.0,1486.0,2012 Volkswagen Polo Vivo 5-Door 1.4 Trendline,Used Car83 000 kmManual,H M AUTOS,"Selby, Johannesburg",Manual,83.0,2012,Volkswagen,Polo,"['Vivo', '5-Door', '1.4', 'Trendline']"
74995.0,1486.0,2012 Ford Fiesta 5-door 1.4 Ambiente,Used Car99 000 kmManual,DE REV AUTOS,"Kew Industrial, Johannesburg",Manual,99.0,2012,Ford,Fiesta,"['5-door', '1.4', 'Ambiente']"
74950.0,1485.0,2014 Toyota Corolla Quest 1.6,Used Car250 000 kmManual,INFINITI AUTO BOKSBURG,"Bardene, Boksburg",Manual,250.0,2014,Toyota,Corolla,"['Quest', '1.6']"
74900.0,1484.0,2012 Daihatsu Gran Max 1.5,Used Car106 000 kmManual,PHAALIES AUTO,"Poortview, Roodepoort",Manual,106.0,2012,Daihatsu,Gran,"['Max', '1.5']"
74900.0,1484.0,2013 Chevrolet Spark Lite 1.0 LS,Used Car126 854 kmManual,ADVENTURE AUTO,"Capital Park, Pretoria",Manual,126.854,2013,Chevrolet,Spark,"['Lite', '1.0', 'LS']"
74900.0,1484.0,2013 Toyota Aygo 1.0 Fresh,Used Car154 000 kmManual,RIGHT CARS,"North Riding, Randburg",Manual,154.0,2013,Toyota,Aygo,"['1.0', 'Fresh']"
73950.0,1465.0,2012 Renault Sandero 1.6 Expression,Used Car105 000 kmManual,DMCC CARS,"Orange Grove, Johannesburg",Manual,105.0,2012,Renault,Sandero,"['1.6', 'Expression']"
73000.0,1446.0,2012 Ford Figo 1.4 Ambiente,Used Car84 000 kmManual,JODES MOTORS,"Allen Grove, Kempton Park",Manual,84.0,2012,Ford,Figo,"['1.4', 'Ambiente']"
72000.0,1426.0,2015 Datsun Go 1.2 Lux,Used Car80 000 kmManual,GI MOTORS,"Pretoria Central, Pretoria",Manual,80.0,2015,Datsun,Go,"['1.2', 'Lux']"
72000.0,1426.0,2017 Datsun Go 1.2 Lux,Used Car76 000 kmManual,WIZ LINK,"Kempton Park Central, Kempton Park",Manual,76.0,2017,Datsun,Go,"['1.2', 'Lux']"
71900.0,1424.0,2014 Mitsubishi Mirage 1.2 GLX,Used Car149 000 kmManual,WEBUYCARS SILVERLAKES,"Equestria, Pretoria",Manual,149.0,2014,Mitsubishi,Mirage,"['1.2', 'GLX']"
70000.0,1387.0,2013 Ford Figo 1.4 Ambiente,Used Car129 000 kmManual,STEPHENS AUTO MOTORS,"Kempton Park Central, Kempton Park",Manual,129.0,2013,Ford,Figo,"['1.4', 'Ambiente']"
70000.0,1387.0,2013 Ford Figo 1.4 Ambiente,Used Car129 000 kmManual,JAY JAY MOTORS,"Rhodesfield, Kempton Park",Manual,129.0,2013,Ford,Figo,"['1.4', 'Ambiente']"
70000.0,1387.0,2012 Hyundai i10 1.1 GLS,Used Car156 000 kmManual,STEPHENS AUTO MOTORS,"Kempton Park Central, Kempton Park",Manual,156.0,2012,Hyundai,i10,"['1.1', 'GLS']"
70000.0,1387.0,2013 Ford Figo 1.4 Ambiente,Used Car47 885 kmManual,NTP CARS,"Bramley, Johannesburg",Manual,47.885,2013,Ford,Figo,"['1.4', 'Ambiente']"
69999.0,1387.0,2015 Renault Sandero 66kW Turbo Dynamique,Used Car95 000 kmManual,GI MOTORS,"Pretoria Central, Pretoria",Manual,95.0,2015,Renault,Sandero,"['66kW', 'Turbo', 'Dynamique']"
